property_type,department,lat,lon,area_m2,price_cop
house,Antioquia,6.164,-75.58,325.0,630000000.0
house,Bogotá D.C,4.764,-74.043,170.0,480000000.0
house,Bogotá D.C,4.651,-74.049,178.0,800000000.0
house,Bogotá D.C,4.743,-74.064,104.0,370000000.0
house,Bogotá D.C,4.695,-74.044,67.0,550000000.0
house,Caldas,5.075,-75.527,300.0,360000000.0
house,Atlántico,10.949,-74.776,86.0,531193520.0
house,Bogotá D.C,4.736,-74.08,66.0,220000000.0
house,Atlántico,11.001,-74.951,310.0,1114740000.0
house,Magdalena,11.16,-74.226,106.0,750000000.0
house,Atlántico,11.013,-74.943,104.0,280000000.0
house,Bogotá D.C,4.745,-74.064,99.0,400000000.0
house,Cundinamarca,5.069,-73.876,140.0,490000000.0
house,Cundinamarca,,,439.0,550000000.0
house,Bogotá D.C,4.711,-74.076,447.0,960000000.0
house,Atlántico,10.98,-74.797,198.0,490000000.0
house,Bogotá D.C,4.598,-74.076,200.0,1600000000.0
house,Cundinamarca,4.852,-74.017,447.0,1350000000.0
house,Bogotá D.C,4.754,-74.067,92.0,330000000.0
house,Bogotá D.C,4.734,-74.034,154.0,445000000.0
house,Cundinamarca,4.874,-74.065,140.0,370000000.0
house,Bogotá D.C,4.679,-74.039,210.0,1600000000.0
house,Bogotá D.C,4.699,-74.049,90.0,550000000.0
house,Atlántico,11.003,-74.815,135.0,520000000.0
house,Antioquia,6.057394,-75.502792,198.0,580000000.0
house,Atlántico,10.989,-74.823,393.0,580000000.0
house,Bolívar,10.416,-75.536,203.0,1000000000.0
house,Bogotá D.C,4.592,-74.156,304.0,349900000.0
house,Atlántico,10.997,-74.796,214.0,1000000000.0
house,Antioquia,6.447,-75.725,114.0,275000000.0
house,Bogotá D.C,4.659,-74.055,201.0,1547000000.0
house,Bogotá D.C,4.736,-74.051,88.0,280000000.0
house,Bogotá D.C,4.667,-74.045,127.0,1485850000.0
house,Bolívar,10.388,-75.478,110.0,300000000.0
house,Valle del Cauca,3.451,-76.537,190.0,185000000.0
house,Bogotá D.C,4.683,-74.055,200.0,1250000000.0
house,Bogotá D.C,4.687,-74.049,91.0,670000000.0
house,Bogotá D.C,4.652,-74.069,99.0,415000000.0
apartment,Bogotá D.C,,,70.0,360000000.0
house,Valle del Cauca,3.413,-76.529,152.0,240000000.0
house,Cundinamarca,4.865,-74.051,238.0,860000000.0
house,Valle del Cauca,3.413,-76.529,230.0,280000000.0
house,Atlántico,11.01,-74.809,158.0,600000000.0
house,Bogotá D.C,4.643,-74.13,93.0,340000000.0
house,Bogotá D.C,4.724,-74.065,115.0,430000000.0
house,Antioquia,6.225,-75.569,141.0,600000000.0
house,Valle del Cauca,3.372035,-76.577651,122.0,420000000.0
house,Bogotá D.C,4.7,-74.039,67.0,380000000.0
house,Cundinamarca,4.979,-74.309,400.0,849500000.0
apartment,Cundinamarca,4.6290998672,-74.078918614,81.0,300000000.0
house,San Andrés Providencia y Santa Catalina,13.354,-81.371,114.0,520000000.0
house,Atlántico,11.011,-74.821,101.0,280000000.0
house,Cundinamarca,4.897,-73.945,256.0,1200000000.0
house,Cundinamarca,4.918,-74.025,76.0,220000000.0
house,Valle del Cauca,3.452,-76.532,250.0,890000000.0
house,Bogotá D.C,4.694,-74.046,195.0,949000000.0
house,Bogotá D.C,4.677,-74.051,138.0,885000000.0
house,Bogotá D.C,4.735,-74.034,154.0,480000000.0
house,Bogotá D.C,4.697,-74.033,80.0,329000000.0
house,Valle del Cauca,3.357,-76.543,108.0,380000000.0
house,Bogotá D.C,4.715,-74.077,223.0,750000000.0
house,Atlántico,11.001,-74.822,116.0,352449600.0
house,Bogotá D.C,4.704,-74.068,131.0,700000000.0
house,Valle del Cauca,3.365,-76.528,300.0,510000000.0
house,Valle del Cauca,3.3,-76.667,266.0,915000000.0
apartment,Cundinamarca,4.7647606018,-74.0412612878,75.0,240000000.0
house,Bogotá D.C,4.685,-74.055,79.0,670000000.0
house,Bogotá D.C,4.698,-74.043,176.0,730000000.0
house,Antioquia,5.963,-75.72,120.0,320000000.0
house,Cundinamarca,4.882,-74.032,226.0,1200000000.0
house,Atlántico,11.014,-74.943,126.0,315000000.0
house,Cundinamarca,,,215.0,700000000.0
house,Atlántico,11.008,-74.797,107.0,273105000.0
house,Atlántico,11.014,-74.819,207.0,814405550.0
house,Atlántico,11.016,-74.834,225.0,1200000000.0
house,Bogotá D.C,4.682,-74.151,168.0,210000000.0
house,Cundinamarca,4.87,-74.146,282.0,470000000.0
house,Cundinamarca,4.94,-74.033,210.0,790000000.0
apartment,Cundinamarca,4.6510411156,-74.0507476264,196.0,1500000000.0
house,Bogotá D.C,4.5987111,-74.1140858,73.0,349900000.0
house,Cundinamarca,4.893,-74.007,210.0,980000000.0
house,Cundinamarca,4.865,-74.051,159.0,610000000.0
house,Valle del Cauca,3.419,-76.56,367.0,1450000000.0
house,Bogotá D.C,4.716,-74.036,150.0,650000100.0
house,Bogotá D.C,4.674,-74.054,111.0,750000000.0
house,Bogotá D.C,4.708,-74.083,245.0,1190000000.0
house,Quindío,4.546,-75.662,320.0,560000000.0
house,Valle del Cauca,3.382,-76.523,83.0,190000000.0
house,Atlántico,11.007,-74.819,98.0,316687000.0
apartment,Magdalena,,,84.0,217000000.0
house,Valle del Cauca,4.333,-75.827,260.0,850000000.0
house,Valle del Cauca,3.452,-76.535,315.0,692000000.0
house,Bogotá D.C,4.687,-74.038,138.0,795000000.0
house,Atlántico,11.014,-74.822,213.0,750000000.0
house,Atlántico,11.004,-74.807,76.0,570000000.0
house,Bogotá D.C,4.62,-74.129,252.0,270000000.0
house,Bogotá D.C,4.665,-74.058,160.0,750000000.0
house,Cundinamarca,4.862,-74.058,117.0,480000000.0
house,Atlántico,11.0,-74.82,111.0,260000000.0
house,Bogotá D.C,4.642,-74.078,290.0,900000000.0
house,Valle del Cauca,3.421,-76.55,185.0,285000000.0
house,Atlántico,10.943,-74.82,65.0,190000000.0
house,Cundinamarca,4.881,-74.032,153.0,850000000.0
house,Bogotá D.C,4.672,-74.118,116.0,415000000.0
house,Bogotá D.C,4.699,-74.063,314.0,980000000.0
house,Bogotá D.C,4.769,-74.033,104.0,330000000.0
house,Atlántico,11.007,-74.807,332.0,1300000000.0
house,Bogotá D.C,4.644,-74.167,150.0,350000000.0
